name, num. of atoms, atomic types, rmsd, max. deviation, av. deviation, pearson**2
NSC_1003,29,"C~1, C~2, H~1, N~1, O~1, O~2",0.0509,0.1172,0.0402,0.9837
NSC_101016,35,"C~1, C~2, H~1, N~1, O~2",0.051,0.165,0.0352,0.9721
NSC_10015,29,"C~1, C~2, H~1, N~1, O~1, O~2",0.0511,0.1696,0.0363,0.975
NSC_10028,33,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0512,0.1784,0.0385,0.984
NSC_101011,35,"C~1, C~2, H~1, O~1, O~2",0.0512,0.11,0.04,0.9817
NSC_101734,37,"C~1, C~2, H~1, N~1, N~2",0.0513,0.1573,0.0367,0.985
NSC_1005,41,"C~1, C~2, H~1, N~2",0.0514,0.1245,0.0395,0.951
NSC_100616,28,"C~2, H~1, N~2, O~1, O~2",0.0515,0.153,0.0372,0.9741
NSC_10027,25,"C~1, C~2, H~1, N~1, S~2",0.0516,0.1246,0.0382,0.9751
NSC_100722,17,"C~1, C~2, H~1, N~1, O~1, O~2",0.0516,0.1227,0.0372,0.9875
NSC_101348,52,"C~1, C~2, H~1, O~1, O~2, S~2",0.0516,0.1245,0.042,0.9875
NSC_101546,29,"C~2, H~1, N~2",0.0516,0.1225,0.0406,0.959
NSC_101003,32,"C~2, H~1, N~1, O~2",0.0518,0.1766,0.0363,0.9752
NSC_100689,32,"C~1, C~2, H~1, N~1, N~2, O~2",0.0519,0.1307,0.0402,0.9782
NSC_101254,28,"C~1, C~2, H~1, N~1, N~2",0.0519,0.1405,0.0386,0.9816
NSC_101589,27,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0519,0.1298,0.0449,0.9895
NSC_100247,37,"C~1, C~2, H~1, O~2",0.0521,0.21,0.0375,0.962
NSC_100206,35,"C~1, C~2, H~1, O~1, O~2",0.0523,0.2237,0.0348,0.9803
NSC_101986,31,"C~1, C~2, H~1, N~1, O~2",0.0523,0.1694,0.0392,0.9814
NSC_10043,43,"C~1, C~2, H~1, O~1",0.0524,0.1454,0.0372,0.971
NSC_10054,58,"C~1, C~2, H~1, O~1, O~2",0.0524,0.1517,0.0423,0.982
NSC_100696,40,"C~1, C~2, H~1, N~1, O~2",0.0525,0.2129,0.0375,0.9722
NSC_100734,25,"C~1, C~2, H~1, O~2",0.0526,0.2084,0.0311,0.9685
NSC_101012,34,"C~1, C~2, H~1, O~2, S~1",0.0526,0.1671,0.0411,0.9613
NSC_102006,82,"C~1, C~2, H~1, O~1, O~2",0.0527,0.2331,0.0354,0.9622
NSC_100297,48,"C~1, C~2, H~1, N~1",0.0529,0.213,0.0388,0.9606
NSC_101983,34,"C~1, C~2, H~1, N~1, N~2, O~2",0.0529,0.1363,0.0381,0.9532
NSC_100062,59,"C~1, C~2, H~1, N~2, O~1, O~2",0.053,0.1718,0.0345,0.9707
NSC_10118,18,"C~2, H~1, N~1, O~2",0.053,0.1055,0.0412,0.9735
NSC_101685,40,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.053,0.2112,0.0393,0.9814
NSC_100109,29,"C~1, C~2, H~1, N~1, N~2, O~2",0.0532,0.1242,0.0401,0.9857
NSC_100058,42,"C~1, C~2, H~1, N~1, O~1",0.0533,0.213,0.0363,0.9681
NSC_100277,90,"C~1, C~2, H~1, O~2",0.0533,0.2113,0.0398,0.9601
NSC_100739,20,"C~1, C~2, H~1, N~1, O~1",0.0533,0.1432,0.0391,0.9777
NSC_100958,34,"C~1, H~1, O~1",0.0533,0.1965,0.0379,0.9731
NSC_101088,72,"C~1, C~2, H~1, O~1, O~2",0.0533,0.1822,0.0374,0.9725
NSC_10149,31,"C~1, C~2, H~1, O~1, O~2",0.0534,0.1296,0.0429,0.9834
NSC_101510,25,"C~2, H~1, N~2, O~1, O~2",0.0534,0.1266,0.0396,0.9836
NSC_100935,23,"C~1, C~2, H~1, N~1, O~2",0.0535,0.1221,0.0426,0.9791
NSC_101540,30,"C~2, H~1, N~1, N~2, O~1, O~2",0.0536,0.1543,0.0383,0.9742
NSC_100727,17,"C~1, C~2, H~1, O~1, S~1",0.0537,0.1414,0.0352,0.961
NSC_10184,36,"C~1, C~2, H~1, N~1, O~1, O~2",0.0537,0.1863,0.0423,0.9878
NSC_100671,25,"C~1, C~2, H~1, N~1, O~2",0.0538,0.1997,0.0388,0.9804
NSC_100709,50,"C~1, C~2, H~1, N~1, O~1",0.0538,0.2436,0.0375,0.959
NSC_100227,32,"C~1, C~2, H~1, N~1, O~2",0.0539,0.2245,0.0397,0.9805
NSC_101615,22,"C~1, C~2, H~1, N~2, O~2",0.0541,0.1071,0.0467,0.9789
NSC_10189,39,"C~1, C~2, H~1, O~1, O~2",0.0541,0.1348,0.0408,0.9825
NSC_100706,44,"C~1, C~2, H~1, N~1, O~1",0.0542,0.2158,0.0397,0.9667
NSC_101165,46,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0542,0.1373,0.0422,0.991
NSC_100296,45,"C~1, C~2, H~1, N~1",0.0544,0.2136,0.0407,0.9626
NSC_101467,22,"C~1, C~2, H~1, N~1, O~2, S~1",0.0544,0.1562,0.0403,0.9833
NSC_100614,68,"C~1, C~2, H~1, N~2, O~1",0.0545,0.2167,0.0407,0.9775
NSC_101164,40,"C~1, C~2, H~1, N~1, N~2, O~1",0.0547,0.1567,0.044,0.9874
NSC_10042,34,"C~1, C~2, H~1, N~1, O~2",0.0549,0.1619,0.0411,0.9716
NSC_101192,19,"C~2, H~1, N~2, O~2",0.055,0.1114,0.0446,0.9517
NSC_101561,26,"C~2, H~1, N~1, N~2",0.055,0.1501,0.0415,0.9876
NSC_100683,36,"C~1, C~2, H~1, N~1, O~1, O~2",0.0551,0.167,0.0402,0.9757
NSC_101041,52,"C~1, C~2, H~1, N~1, O~2",0.0553,0.2209,0.0341,0.9806
NSC_101994,26,"C~1, C~2, H~1, N~1, O~2, S~2",0.0553,0.115,0.0453,0.9867
NSC_10072,18,"C~1, C~2, H~1, O~1, O~2",0.0554,0.1225,0.0418,0.9863
NSC_101133,26,"C~1, C~2, H~1, N~1, O~1, O~2",0.0556,0.1366,0.0439,0.9849
NSC_101497,29,"C~1, C~2, H~1, N~1, N~2, S~1",0.0556,0.1103,0.0447,0.9765
NSC_100946,30,"C~1, C~2, H~1, O~1, O~2",0.0557,0.2055,0.0363,0.9624
NSC_101652,33,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0557,0.2175,0.0393,0.9801
NSC_100741,28,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0559,0.1424,0.0441,0.9758
NSC_10078,29,"C~1, C~2, H~1, N~1, O~2",0.0559,0.2028,0.0416,0.984
NSC_101854,11,"C~1, H~1, O~1, S~1",0.0559,0.0951,0.0431,0.9815
NSC_100054,44,"C~1, C~2, H~1, N~1, O~1, O~2, S~1, S~2",0.056,0.1331,0.0411,0.992
NSC_100254,41,"C~1, C~2, H~1, N~1, O~2",0.0561,0.1723,0.038,0.9405
NSC_100796,31,"C~1, C~2, H~1, O~1, O~2",0.0561,0.1306,0.045,0.9784
