name, num. of atoms, atomic types, rmsd, max. deviation, av. deviation, pearson**2
NSC_100751,24,"C~1, C~2, H~1, N~1, O~2",0.0456,0.1354,0.0336,0.9827
NSC_100765,36,"C~1, C~2, H~1, O~1, O~2",0.0463,0.1678,0.029,0.9817
NSC_100594,44,"C~1, C~2, H~1, N~1, O~1",0.0466,0.1941,0.0269,0.9783
NSC_100764,33,"C~1, C~2, H~1, N~2",0.0466,0.1135,0.0342,0.975
NSC_100310,38,"C~1, C~2, H~1, O~1, O~2",0.0467,0.2003,0.0289,0.9738
NSC_100058,42,"C~1, C~2, H~1, N~1, O~1",0.0469,0.2059,0.0303,0.9748
NSC_10015,29,"C~1, C~2, H~1, N~1, O~1, O~2",0.0469,0.1565,0.0283,0.9815
NSC_1002,19,"C~1, C~2, H~1, N~1, O~2",0.0469,0.0818,0.0401,0.9906
NSC_100666,22,"C~1, C~2, H~1, N~1, N~2",0.0471,0.1131,0.0315,0.9673
NSC_100694,39,"C~1, C~2, H~1, N~1, O~2, S~2",0.0471,0.2255,0.0274,0.9879
NSC_10011,24,"C~1, C~2, H~1, N~2, O~1, O~2",0.0473,0.1239,0.0357,0.9838
NSC_10076,25,"C~1, C~2, H~1, N~1, O~1, O~2",0.0481,0.1256,0.0293,0.9836
NSC_10006,15,"C~2, H~1, N~1, N~2, O~2",0.0488,0.1313,0.0366,0.9922
NSC_10008,18,"C~1, C~2, H~1, N~1, N~2, O~2",0.049,0.1413,0.0351,0.9904
NSC_100619,24,"C~1, C~2, H~1, N~2, S~1",0.049,0.1392,0.0342,0.9764
NSC_100238,44,"C~1, C~2, H~1, N~1, O~1, O~2",0.0492,0.1511,0.0317,0.9814
NSC_10054,58,"C~1, C~2, H~1, O~1, O~2",0.0494,0.1461,0.0351,0.9875
NSC_100032,26,"C~1, C~2, H~1, N~2, O~1, O~2",0.0503,0.1187,0.0375,0.9793
NSC_10061,23,"C~1, C~2, H~1, N~2, O~1, O~2",0.0504,0.1042,0.04,0.9801
NSC_100715,53,"C~1, C~2, H~1, N~1, O~1",0.0505,0.2057,0.0315,0.9618
NSC_100184,34,"C~1, C~2, H~1, N~1, O~1, O~2",0.0507,0.1579,0.0316,0.9877
NSC_10075,24,"C~1, C~2, H~1, O~1, O~2",0.0507,0.1308,0.0397,0.9816
NSC_100309,41,"C~1, C~2, H~1, O~1, O~2",0.0511,0.2431,0.0317,0.9754
NSC_100029,24,"C~2, H~1, N~2, O~1, O~2",0.0512,0.1547,0.0336,0.9795
NSC_100616,28,"C~2, H~1, N~2, O~1, O~2",0.0518,0.1401,0.0383,0.9736
NSC_10072,18,"C~1, C~2, H~1, O~1, O~2",0.0521,0.1373,0.0382,0.9864
NSC_100740,22,"C~1, C~2, H~1, N~1, O~1, O~2",0.0533,0.1006,0.0462,0.9825
NSC_100429,33,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0541,0.1415,0.0397,0.9872
NSC_100297,48,"C~1, C~2, H~1, N~1",0.0544,0.2497,0.0288,0.9579
NSC_100542,24,"C~1, C~2, H~1, O~1, O~2",0.0548,0.1719,0.0416,0.9841
