name, num. of atoms, atomic types, rmsd, max. deviation, av. deviation, pearson**2
NSC_113922,40,"C, F, H, N, O, S",0.0735,0.275,0.0509,0.9783
NSC_105344,41,"Br, C, H, N, O",0.0735,0.282,0.0556,0.937
NSC_101004,32,"C, H, O, S",0.0735,0.2134,0.0534,0.9144
NSC_10319,15,"C, F, H, O",0.0735,0.1625,0.0545,0.9715
NSC_100785,52,"C, F, H, N, O",0.0735,0.2437,0.0477,0.9331
NSC_104019,19,"C, H, O, S",0.0735,0.2067,0.0547,0.9649
NSC_10285,12,"C, F, H",0.0735,0.1384,0.058,0.9514
NSC_529006,24,"C, H, I, O, S",0.0735,0.156,0.0559,0.9632
NSC_100666,22,"C, H, N",0.0736,0.2454,0.0513,0.9104
NSC_15939,22,"C, H, I, N, O",0.0736,0.1797,0.0536,0.9697
NSC_10288,13,"C, F, H, O",0.0736,0.167,0.0571,0.9633
NSC_329118,12,"C, H, I, N",0.0736,0.1289,0.0618,0.9238
NSC_111206,35,"C, H, N, O, S",0.0736,0.254,0.0508,0.9818
NSC_111105,18,"C, H, N, O, S",0.0736,0.1511,0.062,0.9884
NSC_10118,18,"C, H, N, O",0.0736,0.1875,0.0542,0.9252
NSC_262168,29,"C, H, I, N, O",0.0736,0.1613,0.0598,0.9724
NSC_114643,41,"C, H, N, O, P",0.0737,0.2641,0.0491,0.9835
NSC_35768,31,"C, H, I, N, O, S",0.0737,0.1762,0.0618,0.9888
NSC_121929,53,"C, H, N, S",0.0737,0.2031,0.0528,0.9274
NSC_140257,22,"C, H, I, O, S",0.0737,0.1673,0.0555,0.9832
NSC_8649,11,"C, Cl, H, O, S",0.0737,0.1781,0.0501,0.9942
NSC_116600,72,"C, H, N, O, P",0.0737,0.259,0.0475,0.9846
NSC_134663,22,"C, H, I, N, O",0.0737,0.183,0.0527,0.9612
NSC_212,29,"C, Cl, H, O, S",0.0737,0.2004,0.0535,0.9919
NSC_146509,33,"C, F, H, I, N, O, S",0.0738,0.257,0.0547,0.9808
NSC_70192,58,"C, H, O",0.0738,0.3081,0.0478,0.9504
NSC_108755,26,"C, H, N, S",0.0738,0.1595,0.0583,0.9228
NSC_107744,18,"C, F, H, N, O, S",0.0738,0.2032,0.0546,0.9875
NSC_2594,13,"C, H, I, O",0.0738,0.138,0.0613,0.9551
NSC_10310,15,"C, Cl, F, H",0.0738,0.1904,0.049,0.8952
NSC_171788,26,"C, Cl, H, N, O, S",0.0738,0.1858,0.0636,0.9687
NSC_156279,20,"C, H, I, N, O",0.0738,0.193,0.0524,0.9657
NSC_2864,15,"C, Cl, H, O, S",0.0739,0.2233,0.0557,0.9949
NSC_40020,31,"C, H, I, N, O, S",0.0739,0.209,0.0546,0.9613
NSC_409306,28,"C, H, I, N, O, S",0.0739,0.1673,0.0575,0.924
NSC_118354,24,"C, H, N, O, S",0.0739,0.1814,0.0525,0.9574
NSC_190811,32,"C, Cl, H, I, O",0.0739,0.2093,0.0515,0.9352
NSC_114390,31,"C, H, N, O, S",0.074,0.1636,0.0554,0.9885
NSC_284650,22,"Br, C, H, N, O, S",0.074,0.1985,0.0515,0.9825
NSC_10573,40,"C, H, N, O, S",0.074,0.2359,0.0565,0.9818
NSC_33305,17,"Br, C, H, N, O",0.074,0.1815,0.0599,0.9745
NSC_104967,47,"C, H, N, O, S",0.074,0.2177,0.048,0.9916
NSC_10083,29,"C, H, O",0.074,0.2252,0.0489,0.9576
NSC_103674,52,"C, H, N, O",0.074,0.1585,0.0545,0.932
NSC_721218,44,"C, H, I, N, O, S",0.074,0.1919,0.058,0.9798
NSC_10236,16,"C, F, H, N, O",0.074,0.1305,0.0661,0.9569
NSC_10134,25,"C, H, O",0.0741,0.1594,0.054,0.9697
NSC_193462,28,"C, H, N, O, S",0.0741,0.2486,0.0494,0.9832
NSC_304623,22,"C, Cl, H, N, O, S",0.0741,0.2279,0.0408,0.9854
NSC_106535,25,"Br, C, Cl, H, N, O",0.0741,0.1417,0.0582,0.9465
NSC_107704,25,"C, H, N, O, S",0.0741,0.2035,0.0535,0.9491
NSC_24980,16,"C, H, I, N, O",0.0742,0.1759,0.0509,0.9636
NSC_99728,30,"C, Cl, H, I, N, O, S",0.0742,0.1668,0.0585,0.9783
NSC_106150,45,"C, H, I, N, O",0.0742,0.1685,0.0554,0.937
NSC_82133,34,"C, H, I, O",0.0742,0.2164,0.0528,0.9426
NSC_128841,21,"C, H, N, O, S",0.0743,0.161,0.0618,0.9869
NSC_114635,38,"C, H, N, O, P",0.0743,0.2579,0.051,0.983
NSC_119855,34,"C, H, N, O",0.0743,0.2666,0.0492,0.9669
NSC_102498,18,"C, H, N, O, S",0.0743,0.1827,0.0561,0.9797
NSC_105695,37,"C, H, N, O, S",0.0743,0.2997,0.0485,0.9268
NSC_100375,42,"C, H, N, O",0.0743,0.2823,0.0555,0.9445
NSC_159046,23,"C, H, N, S",0.0743,0.2415,0.0561,0.8884
NSC_10286,12,"C, F, H",0.0743,0.1418,0.0558,0.9467
NSC_82344,25,"C, H, O, P",0.0743,0.2915,0.0351,0.9913
NSC_136733,23,"C, H, I, N, O",0.0743,0.2027,0.0547,0.9641
NSC_113919,35,"C, F, H, N, O, S",0.0743,0.2627,0.0545,0.9794
NSC_721280,41,"C, H, I, N, O, S",0.0744,0.2198,0.0557,0.9327
NSC_165772,26,"C, H, I, N, O",0.0744,0.1656,0.0582,0.946
NSC_10264,12,"C, F, H",0.0744,0.1099,0.0641,0.9613
NSC_11449,17,"Br, C, H, I, N, O",0.0744,0.1783,0.0549,0.9695
NSC_2668,31,"C, H, O, P",0.0744,0.279,0.0392,0.9894
NSC_154607,35,"C, Cl, F, H, N, O, S",0.0744,0.2762,0.0484,0.9749
NSC_102798,31,"C, Cl, H, N, O, S",0.0744,0.2264,0.0503,0.9856
NSC_102235,33,"C, H, O, P",0.0744,0.2254,0.0532,0.9856
NSC_112815,25,"C, H, I, N, O, S",0.0744,0.1513,0.0615,0.9846
NSC_101549,30,"C, H, N, O",0.0744,0.2823,0.0481,0.8815
NSC_674,28,"C, H, O",0.0744,0.25,0.0513,0.9531
NSC_4618,21,"C, Cl, H, O, S",0.0745,0.2292,0.0521,0.9866
NSC_149884,21,"C, H, I, O",0.0745,0.1602,0.0534,0.9628
NSC_105642,36,"C, H, N, O, S",0.0745,0.2832,0.0482,0.9788
NSC_10835,24,"C, Cl, H, N, S",0.0745,0.1536,0.062,0.8771
NSC_58833,14,"C, H, I, N, O",0.0745,0.1404,0.052,0.9735
NSC_187531,27,"C, H, N, O, S",0.0745,0.2461,0.0471,0.9839
NSC_136732,20,"C, H, I, N, O",0.0745,0.1945,0.0547,0.9676
NSC_236595,36,"C, H, O",0.0746,0.1881,0.0509,0.9434
NSC_152,33,"C, H, I, O",0.0746,0.1865,0.0518,0.9483
NSC_281788,30,"C, H, N, O, S",0.0746,0.1839,0.0543,0.9586
NSC_121904,34,"C, H, N, O, S",0.0746,0.3045,0.0467,0.9474
NSC_87894,13,"C, H, I, N",0.0746,0.1467,0.06,0.8854
NSC_101133,26,"C, H, N, O",0.0746,0.1904,0.0516,0.9766
NSC_107607,28,"Br, C, H, N, O",0.0746,0.2668,0.0534,0.9371
NSC_521442,38,"C, H, I, N, O",0.0746,0.2051,0.0521,0.9597
NSC_102394,24,"C, F, H, N, O",0.0746,0.144,0.0567,0.9483
NSC_115932,34,"C, F, H, N, O, S",0.0746,0.2669,0.0523,0.9796
NSC_100037,34,"C, F, H, N, O, S",0.0747,0.2404,0.0599,0.9756
NSC_34639,18,"C, H, I, O",0.0747,0.2039,0.0535,0.9447
NSC_118408,29,"C, H, N, O, P",0.0747,0.2098,0.0531,0.9862
NSC_47954,17,"C, H, I, N, O",0.0747,0.1408,0.0529,0.946
NSC_88995,19,"C, F, H, I, N, O",0.0747,0.1934,0.052,0.9604
NSC_101127,24,"Br, C, H, O",0.0747,0.1775,0.0543,0.9699
NSC_106274,31,"C, H, N, O",0.0748,0.275,0.0559,0.9486
NSC_651039,16,"C, Cl, H, I, N, O",0.0748,0.1779,0.0568,0.9509
NSC_240744,19,"C, H, O",0.0748,0.2105,0.0548,0.966
NSC_102202,25,"C, H, N, O, S",0.0748,0.2216,0.0588,0.9401
NSC_36073,20,"C, Cl, H, I, O",0.0748,0.2266,0.0531,0.9402
NSC_109551,28,"C, H, N, O",0.0748,0.2102,0.0501,0.9659
NSC_105062,21,"C, H, N, O, S",0.0748,0.154,0.061,0.9693
NSC_310025,18,"C, Cl, F, H, O, S",0.0748,0.1653,0.0607,0.9937
NSC_106040,23,"C, H, N, O",0.0748,0.27,0.0515,0.9291
NSC_100838,24,"C, F, H, N, O",0.0749,0.1778,0.0548,0.9464
NSC_10126,26,"C, H, N, O",0.0749,0.2692,0.0545,0.9389
NSC_110676,37,"C, H, N, O, S",0.0749,0.2158,0.048,0.991
NSC_137221,35,"C, Cl, F, H, N, O, S",0.0749,0.2625,0.047,0.9749
NSC_103687,40,"C, H, N, O, P",0.0749,0.2084,0.0535,0.9844
